 time            v(vout)        
 0.00000000e+00  1.27831300e-07 
 1.00000000e-07  1.27826099e-07 
 2.00000000e-07  1.27826127e-07 
 4.00000000e-07  1.27826180e-07 
 8.00000000e-07  1.27826279e-07 
 1.60000000e-06  1.27826695e-07 
 3.20000000e-06  1.27828064e-07 
 6.40000000e-06  1.27833290e-07 
 1.28000000e-05  1.27853321e-07 
 2.28000000e-05  1.27916747e-07 
 3.28000000e-05  1.28033698e-07 
 4.28000000e-05  1.28189264e-07 
 5.28000000e-05  1.28380925e-07 
 6.28000000e-05  1.28605800e-07 
 7.28000000e-05  1.28860284e-07 
 8.28000000e-05  1.29140508e-07 
 9.28000000e-05  1.29441991e-07 
 1.02800000e-04  1.29760115e-07 
 1.12800000e-04  1.30089792e-07 
 1.22800000e-04  1.30425941e-07 
 1.32800000e-04  1.30763173e-07 
 1.42800000e-04  1.31096267e-07 
 1.52800000e-04  1.31419861e-07 
 1.62800000e-04  1.31728932e-07 
 1.72800000e-04  1.32018478e-07 
 1.82800000e-04  1.32283999e-07 
 1.92800000e-04  1.32521172e-07 
 2.02800000e-04  1.32726317e-07 
 2.12800000e-04  1.32896063e-07 
 2.22800000e-04  1.33027800e-07 
 2.32800000e-04  1.33119324e-07 
 2.42800000e-04  1.33169274e-07 
 2.52800000e-04  1.33176753e-07 
 2.62800000e-04  1.33141746e-07 
 2.72800000e-04  1.33064716e-07 
 2.82800000e-04  1.32947000e-07 
 2.92800000e-04  1.32790386e-07 
 3.02800000e-04  1.32597481e-07 
 3.12800000e-04  1.32371270e-07 
 3.22800000e-04  1.32115465e-07 
 3.32800000e-04  1.31834046e-07 
 3.42800000e-04  1.31531592e-07 
 3.52800000e-04  1.31212811e-07 
 3.62800000e-04  1.30882858e-07 
 3.72800000e-04  1.30546858e-07 
 3.82800000e-04  1.30210220e-07 
 3.92800000e-04  1.29878152e-07 
 4.02800000e-04  1.29555981e-07 
 4.12800000e-04  1.29248666e-07 
 4.22800000e-04  1.28961126e-07 
 4.32800000e-04  1.28697760e-07 
 4.42800000e-04  1.28462783e-07 
 4.52800000e-04  1.28259762e-07 
 4.62800000e-04  1.28091958e-07 
 4.72800000e-04  1.27961884e-07 
 4.82800000e-04  1.27871660e-07 
 4.92800000e-04  1.27822589e-07 
 5.02800000e-04  1.27815532e-07 
 5.12800000e-04  1.27850499e-07 
 5.22800000e-04  1.27927047e-07 
 5.32800000e-04  1.28043885e-07 
 5.42800000e-04  1.28199297e-07 
 5.52800000e-04  1.28390766e-07 
 5.62800000e-04  1.28615409e-07 
 5.72800000e-04  1.28869624e-07 
 5.82800000e-04  1.29149541e-07 
 5.92800000e-04  1.29450682e-07 
 6.02800000e-04  1.29768430e-07 
 6.12800000e-04  1.30097698e-07 
 6.22800000e-04  1.30433407e-07 
 6.32800000e-04  1.30770168e-07 
 6.42800000e-04  1.31102765e-07 
 6.52800000e-04  1.31425836e-07 
 6.62800000e-04  1.31734359e-07 
 6.72800000e-04  1.32023336e-07 
 6.82800000e-04  1.32288270e-07 
 6.92800000e-04  1.32524837e-07 
 7.02800000e-04  1.32729363e-07 
 7.12800000e-04  1.32898477e-07 
 7.22800000e-04  1.33029572e-07 
 7.32800000e-04  1.33120448e-07 
 7.42800000e-04  1.33169745e-07 
 7.52800000e-04  1.33176570e-07 
 7.62800000e-04  1.33140908e-07 
 7.72800000e-04  1.33063228e-07 
 7.82800000e-04  1.32944867e-07 
 7.92800000e-04  1.32787617e-07 
 8.02800000e-04  1.32594086e-07 
 8.12800000e-04  1.32367263e-07 
 8.22800000e-04  1.32110863e-07 
 8.32800000e-04  1.31828866e-07 
 8.42800000e-04  1.31525856e-07 
 8.52800000e-04  1.31206540e-07 
 8.62800000e-04  1.30876078e-07 
 8.72800000e-04  1.30539596e-07 
 8.82800000e-04  1.30202504e-07 
 8.92800000e-04  1.29870013e-07 
 9.02800000e-04  1.29547451e-07 
 9.12800000e-04  1.29239779e-07 
 9.22800000e-04  1.28951916e-07 
 9.32800000e-04  1.28688265e-07 
 9.42800000e-04  1.28453040e-07 
 9.52800000e-04  1.28249809e-07 
 9.62800000e-04  1.28081834e-07 
 9.72800000e-04  1.27951629e-07 
 9.82800000e-04  1.27861314e-07 
 9.92800000e-04  1.27812193e-07 
 1.00280000e-03  1.27805128e-07 
 1.01280000e-03  1.27840127e-07 
 1.02280000e-03  1.27916747e-07 
 1.03280000e-03  1.28033698e-07 
 1.04280000e-03  1.28189264e-07 
 1.05280000e-03  1.28380925e-07 
 1.06280000e-03  1.28605800e-07 
 1.07280000e-03  1.28860284e-07 
 1.08280000e-03  1.29140508e-07 
 1.09280000e-03  1.29441991e-07 
 1.10280000e-03  1.29760115e-07 
 1.11280000e-03  1.30089792e-07 
 1.12280000e-03  1.30425942e-07 
 1.13280000e-03  1.30763173e-07 
 1.14280000e-03  1.31096267e-07 
